date,NINO,ENERGY_PRICE
2016-09-01,-0.46,150.3636568111111
2016-10-01,-0.75,184.94696905376344
2016-11-01,-0.63,166.6776215111111
2016-12-01,-0.51,107.45283823655916
2017-01-01,-0.34,111.50643569892472
2017-02-01,-0.01,156.9946869642857
2017-03-01,-0.09,119.8590928817204
2017-04-01,0.22,96.47702438888888
2017-05-01,0.3,71.65047594623655
2017-06-01,0.22,68.50058371111112
2017-07-01,0.22,70.60407205376345
2017-08-01,-0.18,92.5729874516129
2017-09-01,-0.56,124.32170758888888
2017-10-01,-0.52,137.36530622580645
2017-11-01,-0.84,126.71987426666668
2017-12-01,-0.85,101.34635160215056
2018-01-01,-0.86,124.47677378494625
2018-02-01,-0.73,140.03725386904762
2018-03-01,-0.73,172.1338948924731
2018-04-01,-0.36,115.66846886666669
2018-05-01,-0.12,75.11800815053763
2018-06-01,0.12,73.93359082222221
2018-07-01,0.27,79.88897687096774
2018-08-01,0.05,95.03049547311828
2018-09-01,0.3,101.43225115555556
2018-10-01,0.84,121.85983808602153
2018-11-01,1.0,104.11863222222222
2018-12-01,0.97,191.33679912903224
2019-01-01,0.51,285.42366903225803
2019-02-01,0.62,303.4703065119048
2019-03-01,0.81,262.8579173548387
2019-04-01,0.67,189.79297133333333
2019-05-01,0.61,172.12713089247313
2019-06-01,0.66,113.28355821111111
2019-07-01,0.41,122.33132255913978
2019-08-01,0.19,147.25797603225806
2019-09-01,0.11,284.75647413333337
2019-10-01,0.55,321.2870886129033
2019-11-01,0.74,232.8934613555556
2019-12-01,0.51,308.5090387311828
2020-01-01,0.64,323.05469086021503
2020-02-01,0.48,430.5174712643679
2020-03-01,0.36,339.4915994623656
2020-04-01,0.49,252.15969444444443
2020-05-01,-0.12,360.9838306451613
2020-06-01,-0.21,306.5829444444444
2020-07-01,-0.04,156.878373655914
2020-08-01,-0.42,158.96676075268817
2020-09-01,-0.66,150.94013888888887
2020-10-01,-1.19,198.3122983870968
2020-11-01,-1.01,179.97030555555554
2020-12-01,-0.98,163.22466397849462
2021-01-01,-1.04,181.25762096774196
2021-02-01,-0.94,270.1268601190476
2021-03-01,-0.72,165.90516129032255
2021-04-01,-0.55,162.63095833333333
2021-05-01,-0.41,100.53307795698925
2021-06-01,-0.06,90.42504166666669
2021-07-01,-0.2,91.72024193548388
2021-08-01,-0.38,93.61936827956988
2021-09-01,-0.5,108.01794444444444
2021-10-01,-0.78,103.75385752688172
2021-11-01,-0.88,104.17515277777778
2021-12-01,-1.07,335.94348118279567
2022-01-01,-0.77,289.91860215053765
2022-02-01,-0.68,399.1649404761905
2022-03-01,-0.84,226.99962365591395
2022-04-01,-0.9,143.79427777777775
2022-05-01,-1.02,105.48951612903228
2022-06-01,-0.77,104.145625
2022-07-01,-0.56,109.3982930107527
2022-08-01,-0.96,150.88579301075268
2022-09-01,-1.06,251.0650138888889
2022-10-01,-0.99,298.0675268817205
2022-11-01,-0.76,184.5360138888889
2022-12-01,-0.86,338.0845161290323
